student_id,district,al_passed,ol_passed,stream,career_interest,budget,preferred_city,hostel_required,sports_or_extracurricular,university_id,university_name,university_type,location,degree_programs,program_description,language_mediums,hostel_available,semester_fee_lkr,entry_requirements,ranking_score,international_affiliation,recommended_university_id
2944,Mullaitivu,FALSE,TRUE,Biological Science,IT,189964,Kandy,FALSE,TRUE,G007,Rajarata University of Sri Lanka,Public,Mihintale,Bachelor of Environmental Sci.,"Sustainability program with waste-to-energy research, GIS applications, and pollution monitoring.","English,Sinhala,Tamil",FALSE,8064,Z-score,57.41,FALSE,G007
2945,Jaffna,FALSE,FALSE,Arts,Agriculture,98446,Kandy,FALSE,TRUE,P021,AIMS Institute,Private,Colombo,BA (Hons) in Law,3-year legal studies program with moot court competitions and Supreme Court internships.,"English,Sinhala,Tamil",FALSE,74011,A/L pass or O/L pass,30,TRUE,P021
2946,Moneragala,FALSE,FALSE,Physical Science,Engineering,155589,Nuwara Eliya,TRUE,TRUE,P019,Management & Science University (MSU) Sri Lanka,Private,Colombo,Bachelor of Forestry,"Biodiversity conservation program with Knuckles Range fieldwork, GIS mapping of endangered species, and sustainable timber management. Includes certifications in forest fire management.","English,Sinhala,Tamil",TRUE,178009,A/L pass or O/L pass,40,TRUE,P019
2947,Mannar,FALSE,FALSE,Biological Science,Medicine,290109,Kilinochchi,FALSE,TRUE,P018,Aquinas College of Higher Studies,Private,Colombo,Bachelor of Philosophy,"Comparative religion program with Buddhist philosophy, ethics, and interfaith studies.","English,Sinhala,Tamil",FALSE,98257,A/L pass or O/L pass,25,TRUE,P018
2948,Matara,TRUE,TRUE,Technology,IT,145035,Mannar,FALSE,TRUE,G002,University of Sri Jayewardenepura,Public,Nugegoda,Bachelor of Computer Engineering,Hardware/software integration program with AI/ML specializations. Includes rural tech development projects and industry certifications.,"English,Sinhala,Tamil",FALSE,13611,Z-score,68.26,FALSE,G002
2949,Ratnapura,TRUE,TRUE,Physical Science,Law,53262,Mannar,TRUE,TRUE,G001,University of Peradeniya,Public,Peradeniya,BBA in Management,3-year UK-linked program with HR/Marketing/Entrepreneurship tracks. Features Bloomberg Terminal training and John Keells internships.,"English,Sinhala,Tamil",TRUE,13650,Z-score,65.77,TRUE,G001
2950,Kandy,FALSE,FALSE,Biological Science,Design,175781,Trincomalee,FALSE,TRUE,P022,Sei Campus,Private,Nugegoda,BSc in IT,3-year program with networking fundamentals and web development projects.,"English,Sinhala,Tamil",FALSE,217992,A/L pass or O/L pass,25,FALSE,P022
2951,Mannar,FALSE,FALSE,Biological Science,IT,252119,Batticaloa,FALSE,TRUE,P029,University of West London (UWL) Sri Lanka,Private,Colombo,Bachelor of Microbiology,Medical microbiology program with BSL-3 lab for infectious disease research. Includes antimicrobial resistance studies and hospital collaborations.,"English,Sinhala,Tamil",FALSE,12003,A/L pass or O/L pass,55,FALSE,P029
2952,Jaffna,FALSE,FALSE,Commerce,Arts,118943,Gampaha,FALSE,TRUE,P013,ANC Education,Private,"Colombo, Kandy",Bachelor of Medicine (MBBS),"5-year comprehensive medical program featuring clinical rotations at National Hospital Colombo (Sri Lanka's largest teaching hospital), research electives in tropical medicine, state-of-the-art simulation labs, and preparation for Sri Lanka Medical Council licensing. Includes cadaver dissection labs and community medicine projects in rural areas.","English,Sinhala,Tamil",FALSE,230594,A/L pass or O/L pass,42,TRUE,P013
2953,Kalutara,FALSE,FALSE,Commerce,Agriculture,233108,Matale,TRUE,TRUE,P002,Informatics Institute of Technology (IIT),Private,Colombo,Certificate in Digital Marketing,6-month program with Google/Facebook certification.,"English,Sinhala,Tamil",TRUE,68711,A/L pass or O/L pass,48,TRUE,P002
2954,Colombo,FALSE,TRUE,Physical Science,Agriculture,178434,Nuwara Eliya,FALSE,TRUE,G010,Eastern University of Sri Lanka,Public,Vantharumoolai,Diploma in Medical Laboratory Science,2-year diagnostic technology program.,"English,Sinhala,Tamil",FALSE,12064,Z-score,46.2,FALSE,G010
2955,Matara,FALSE,FALSE,Commerce,Arts,169032,Trincomalee,TRUE,TRUE,P000,Sri Lanka Institute of Information Technology (SLIIT),Private,"Malabe, Colombo",Bachelor of Islamic Banking,"Sharia-compliant finance program with Islamic economics, microfinance, and banking regulations.","English,Sinhala,Tamil",TRUE,52028,A/L pass or O/L pass,50,FALSE,P000
2956,Nuwara Eliya,FALSE,TRUE,Biological Science,Business,196379,Mannar,FALSE,FALSE,P029,University of West London (UWL) Sri Lanka,Private,Colombo,BSc in Human Resource Management,3-year HR degree with labor law training.,"English,Sinhala,Tamil",FALSE,12003,A/L pass or O/L pass,55,FALSE,P029
2957,Batticaloa,FALSE,FALSE,Technology,Design,274994,Gampaha,TRUE,TRUE,P023,SLIATE Affiliated Private Colleges,Private,Various,BSc in Marketing,3-year digital marketing program with Google/HubSpot certification.,"English,Sinhala,Tamil",TRUE,148909,A/L pass or O/L pass,30,FALSE,P023
2958,Ampara,FALSE,FALSE,Physical Science,IT,169628,Kegalle,FALSE,FALSE,P015,Lyceum Campus,Private,"Colombo, Wattala",Diploma in Landscape Architecture,2-year outdoor design course.,"English,Sinhala,Tamil",FALSE,180180,A/L pass or O/L pass,33,TRUE,P015
2959,Puttalam,FALSE,FALSE,Technology,Arts,223122,Anuradhapura,FALSE,TRUE,P009,SAI Campus (South Asian Institute),Private,Colombo,Bachelor of Pali,"Ancient language program with text translation, philology, and comparative linguistics.","English,Sinhala,Tamil",FALSE,58097,A/L pass or O/L pass,28,FALSE,P009
2960,Mannar,FALSE,TRUE,Physical Science,Law,294587,Vavuniya,TRUE,FALSE,G013,Buddhist and Pali University of Sri Lanka,Public,Homagama,Bachelor of Data Science,"AI/ML applications program with Python/R training, Tableau/Power BI certs, and hackathons with Dialog Axiata. Includes big data analytics projects.","English,Sinhala,Tamil",TRUE,14763,Z-score,23.98,FALSE,G013
2961,Kandy,FALSE,FALSE,Commerce,Design,280484,Jaffna,TRUE,FALSE,P000,Sri Lanka Institute of Information Technology (SLIIT),Private,"Malabe, Colombo",Diploma in IT,2-year technical program with CCNA/Microsoft fundamentals.,"English,Sinhala,Tamil",TRUE,52028,A/L pass or O/L pass,50,FALSE,P000
2962,Nuwara Eliya,TRUE,TRUE,Arts,Agriculture,293893,Jaffna,TRUE,TRUE,P028,Cardiff Metropolitan University (CMU) Sri Lanka,Private,Colombo,Bachelor of Electrical Engineering,"Smart grid and renewable energy program with SCADA labs, power electronics, and 6-month placements at CEB/LTL Holdings. Prepares for Chartered Engineer status.","English,Sinhala,Tamil",TRUE,205744,A/L pass or O/L pass,58,TRUE,P028
2963,Kegalle,TRUE,TRUE,Commerce,Engineering,95367,Ampara,FALSE,FALSE,P006,ICBT Campus,Private,"Colombo, Kandy, Kurunegala, Matara",Bachelor of Animal Science,"Poultry program with vaccine development, nutrition research, and breeding technologies.","English,Sinhala,Tamil",FALSE,180702,A/L pass or O/L pass,38,TRUE,P006
2964,Nuwara Eliya,TRUE,TRUE,Commerce,Engineering,43855,Hambantota,TRUE,TRUE,P004,CINEC Campus,Private,"Malabe, Jaffna, Wattala",Diploma in Digital Marketing,1-year program with Google Analytics certification and live client projects.,"English,Sinhala,Tamil",TRUE,196801,A/L pass or O/L pass,35,TRUE,P004
2965,Nuwara Eliya,FALSE,FALSE,Physical Science,Engineering,241044,Kilinochchi,FALSE,FALSE,P010,Sri Lanka International Buddhist Academy (SIBA),Private,"Pallekele, Kandy",Diploma in Meditation,1-year certification program with therapeutic applications training.,"English,Sinhala,Tamil",FALSE,201901,A/L pass or O/L pass,25,TRUE,P010
2966,Puttalam,TRUE,TRUE,Commerce,Medicine,232902,Gampaha,TRUE,FALSE,G012,The Open University of Sri Lanka,Public,Nawala,Diploma in Hospitality,2-year Swiss-modeled program with Shangri-La Colombo internships.,"English,Sinhala,Tamil",TRUE,13752,Z-score,50,TRUE,G012
2967,Kegalle,TRUE,TRUE,Arts,Law,112394,Matara,TRUE,TRUE,P019,Management & Science University (MSU) Sri Lanka,Private,Colombo,BSc in Network Computing,3-year program with CCNA/CompTIA preparation. Features enterprise Cisco labs.,"English,Sinhala,Tamil",TRUE,178009,A/L pass or O/L pass,40,TRUE,P019
2968,Matale,FALSE,TRUE,Biological Science,Arts,191508,Vavuniya,FALSE,TRUE,P017,Chartered Accountants Institute (CA Sri Lanka),Private,Colombo,Bachelor of Indigenous Medicine,Traditional healing program with Ayurveda/Siddha integration. Includes herbal garden practicums.,"English,Sinhala,Tamil",FALSE,196629,A/L pass or O/L pass,50,FALSE,P017
2969,Polonnaruwa,FALSE,FALSE,Physical Science,Arts,41463,Kurunegala,TRUE,FALSE,P012,Kaatsu International University,Private,Colombo,Bachelor of Animal Science,"Dairy technology program with livestock research center, vaccine development, and AI breeding techniques.","English,Sinhala,Tamil",TRUE,109353,A/L pass or O/L pass,20,FALSE,P012
2970,Colombo,FALSE,FALSE,Commerce,Agriculture,53464,Nuwara Eliya,FALSE,TRUE,P029,University of West London (UWL) Sri Lanka,Private,Colombo,BSc in Maritime Studies,3-year naval architecture program approved by Sri Lanka Ports Authority. Features ship design software.,"English,Sinhala,Tamil",FALSE,12003,A/L pass or O/L pass,55,FALSE,P029
2971,Mannar,TRUE,TRUE,Arts,Design,45994,Matara,FALSE,FALSE,P018,Aquinas College of Higher Studies,Private,Colombo,BA in Buddhist Philosophy,3-year Pali and Buddhist studies program with meditation retreats and temple visits.,"English,Sinhala,Tamil",FALSE,98257,A/L pass or O/L pass,25,TRUE,P018
2972,Kegalle,FALSE,FALSE,Arts,Engineering,170430,Moneragala,FALSE,FALSE,P013,ANC Education,Private,"Colombo, Kandy",Bachelor of Medical Lab Science,Diagnostic technology program with hematology/microbiology labs. Includes hospital instrumentation training.,"English,Sinhala,Tamil",FALSE,230594,A/L pass or O/L pass,42,TRUE,P013
2973,Vavuniya,FALSE,TRUE,Arts,Law,263745,Matara,FALSE,TRUE,P013,ANC Education,Private,"Colombo, Kandy",BA (Hons) Tourism,3-year UNWTO-certified hospitality degree with Jetwing placements.,"English,Sinhala,Tamil",FALSE,230594,A/L pass or O/L pass,42,TRUE,P013
2974,Kandy,TRUE,TRUE,Technology,Agriculture,250152,Mullaitivu,TRUE,FALSE,P019,Management & Science University (MSU) Sri Lanka,Private,Colombo,BSc in Psychology,3-year behavioral science program with clinical observations.,"English,Sinhala,Tamil",TRUE,178009,A/L pass or O/L pass,40,TRUE,P019
2975,Ratnapura,TRUE,TRUE,Biological Science,Agriculture,30819,Nuwara Eliya,TRUE,FALSE,P026,Nexford University (Online Programs),Private,Colombo,BSc in Software Engineering,3-year degree with full-stack development training and agile methodologies.,"English,Sinhala,Tamil",TRUE,202984,A/L pass or O/L pass,55,FALSE,P026
2976,Puttalam,FALSE,TRUE,Biological Science,IT,155104,Gampaha,TRUE,FALSE,G013,Buddhist and Pali University of Sri Lanka,Public,Homagama,Bachelor of Music,"Carnatic/Western program with performance training, composition, and music technology.","English,Sinhala,Tamil",TRUE,14763,Z-score,23.98,FALSE,G013
2977,Nuwara Eliya,FALSE,TRUE,Physical Science,Design,59370,Colombo,FALSE,TRUE,P011,American College of Higher Education (ACHE),Private,Negombo,BS in Biology,4-year pre-medical program with research opportunities and lab rotations.,"English,Sinhala,Tamil",FALSE,168800,A/L pass or O/L pass,32,TRUE,P011
2978,Mannar,TRUE,TRUE,Biological Science,IT,58821,Ratnapura,TRUE,FALSE,P000,Sri Lanka Institute of Information Technology (SLIIT),Private,"Malabe, Colombo",Bachelor of Arabic,"Translation program with interpretation training, Quranic studies, and diplomatic Arabic.","English,Sinhala,Tamil",TRUE,52028,A/L pass or O/L pass,50,FALSE,P000
2979,Ratnapura,FALSE,FALSE,Technology,Medicine,214671,Kandy,TRUE,TRUE,P000,Sri Lanka Institute of Information Technology (SLIIT),Private,"Malabe, Colombo",Bachelor of Fisheries,"Aquaculture program with hatchery management, seafood safety training, and mariculture technologies. Includes industry placements.","English,Sinhala,Tamil",TRUE,52028,A/L pass or O/L pass,50,FALSE,P000
2980,Kilinochchi,FALSE,FALSE,Technology,Design,127862,Ampara,TRUE,FALSE,P000,Sri Lanka Institute of Information Technology (SLIIT),Private,"Malabe, Colombo",BSc (Hons) in Artificial Intelligence,3-year degree with machine learning projects and NVIDIA GPU labs.,"English,Sinhala,Tamil",TRUE,52028,A/L pass or O/L pass,50,FALSE,P000
2981,Kegalle,FALSE,TRUE,Biological Science,Business,235867,Vavuniya,FALSE,FALSE,P029,University of West London (UWL) Sri Lanka,Private,Colombo,BSc (Hons) in Cloud Computing,3-year program with AWS/Azure certifications and DevOps training.,"English,Sinhala,Tamil",FALSE,12003,A/L pass or O/L pass,55,FALSE,P029
2982,Jaffna,FALSE,TRUE,Commerce,Law,70817,Hambantota,FALSE,TRUE,P016,NIBM (National Institute of Business Management),Private,Colombo,Bachelor of Architecture,"5-year RIBA-recognized program with sustainable design studio (LEED prep), bamboo construction workshops, and Port City projects. Includes international exchanges and portfolio development.","English,Sinhala,Tamil",FALSE,227607,A/L pass or O/L pass,40,FALSE,P016
2983,Trincomalee,TRUE,TRUE,Biological Science,Arts,158348,Mannar,TRUE,TRUE,P025,Virtusa Institute of Technology,Private,Colombo,BSc (Hons) in Computer Systems Engineering,4-year program combining hardware/software development with robotics labs and IoT projects. Prepares for Cisco/Microsoft certifications with placements at tech manufacturers.,"English,Sinhala,Tamil",TRUE,103598,A/L pass or O/L pass,50,FALSE,P025
2984,Nuwara Eliya,TRUE,TRUE,Physical Science,Business,60809,Matale,FALSE,TRUE,P024,Imperial College of Business Studies,Private,Colombo,Bachelor of Fine Arts,"Digital/media arts program with animation, graphic design, and gallery management training.","English,Sinhala,Tamil",FALSE,165146,A/L pass or O/L pass,30,TRUE,P024
2985,Ratnapura,FALSE,TRUE,Commerce,Arts,49638,Mannar,FALSE,TRUE,G002,University of Sri Jayewardenepura,Public,Nugegoda,BSc (Hons) in IT,"4-year UK-accredited degree with specializations in Software Engineering, Data Science, and Cybersecurity. Features Cisco networking labs, 6-month internships at companies like Virtusa, and AWS/Google Cloud certifications. Includes capstone projects with industry partners.","English,Sinhala,Tamil",FALSE,13611,Z-score,68.26,FALSE,G002
2986,Mannar,TRUE,TRUE,Technology,Medicine,43704,Galle,FALSE,TRUE,P024,Imperial College of Business Studies,Private,Colombo,BSc (Hons) in Cyber Security,"3-year program with ethical hacking labs, digital forensics training, and Sri Lanka CERT internships.","English,Sinhala,Tamil",FALSE,165146,A/L pass or O/L pass,30,TRUE,P024
2987,Galle,TRUE,TRUE,Technology,Design,185550,Ratnapura,FALSE,FALSE,P010,Sri Lanka International Buddhist Academy (SIBA),Private,"Pallekele, Kandy",BSc (Hons) in Cloud Computing,3-year AWS/Azure certified program with DevOps training and containerization projects.,"English,Sinhala,Tamil",FALSE,201901,A/L pass or O/L pass,25,TRUE,P010
2988,Ampara,TRUE,TRUE,Commerce,IT,287100,Kilinochchi,FALSE,FALSE,G010,Eastern University of Sri Lanka,Public,Vantharumoolai,Bachelor of Siddha,"Dravidian medicine program with diagnostics, pulse reading, and traditional treatment methods.","English,Sinhala,Tamil",FALSE,12064,Z-score,46.2,FALSE,G010
2989,Mannar,FALSE,TRUE,Biological Science,Agriculture,26582,Mannar,TRUE,TRUE,G016,University of Vavuniya,Public,Vavuniya,BSc in Business Administration,3-year degree with CIMA pathways and case studies.,"English,Sinhala,Tamil",TRUE,14397,Z-score,35,TRUE,G016
2990,Gampaha,FALSE,TRUE,Biological Science,Agriculture,65318,Trincomalee,FALSE,TRUE,P020,City School of Architecture (CSA),Private,Colombo,BSc (Hons) Psychology,3-year behavioral science program with UK curriculum.,"English,Sinhala,Tamil",FALSE,10916,A/L pass or O/L pass,45,TRUE,P020
2991,Moneragala,FALSE,FALSE,Technology,Engineering,170896,Trincomalee,FALSE,TRUE,P017,Chartered Accountants Institute (CA Sri Lanka),Private,Colombo,Bachelor of IT,"Rural tech solutions program with mobile app development, cybersecurity, and community digital literacy projects.","English,Sinhala,Tamil",FALSE,196629,A/L pass or O/L pass,50,FALSE,P017
2992,Kegalle,FALSE,TRUE,Biological Science,IT,82894,Mullaitivu,TRUE,FALSE,P004,CINEC Campus,Private,"Malabe, Jaffna, Wattala",Bachelor of Education,"Flexible 4-year program with online modules, school practicums, and EdTech integration. Specializations available.","English,Sinhala,Tamil",TRUE,196801,A/L pass or O/L pass,35,TRUE,P004
2993,Mannar,TRUE,TRUE,Technology,Law,233392,Colombo,TRUE,FALSE,P014,BCAS Campus,Private,"Colombo, Kalmunai",Higher Diploma in Business Management,2-year program with QuickBooks training and SME case studies.,"English,Sinhala,Tamil",TRUE,55083,A/L pass or O/L pass,35,TRUE,P014
2994,Hambantota,FALSE,TRUE,Arts,IT,99179,Nuwara Eliya,TRUE,FALSE,G004,University of Kelaniya,Public,Kelaniya,BSc (Hons) in Cyber Security,"3-year ethical hacking program with digital forensics labs, penetration testing training, and CISSP preparation.","English,Sinhala,Tamil",TRUE,10905,Z-score,64.73,FALSE,G004
2995,Kilinochchi,FALSE,TRUE,Commerce,Engineering,103040,Ratnapura,TRUE,FALSE,P019,Management & Science University (MSU) Sri Lanka,Private,Colombo,Bachelor of Crop Science,"Climate-resilient varieties program with drought-resistant crops, soil management, and precision agriculture.","English,Sinhala,Tamil",TRUE,178009,A/L pass or O/L pass,40,TRUE,P019
2996,Kurunegala,FALSE,TRUE,Biological Science,Engineering,157102,Puttalam,TRUE,TRUE,G003,University of Moratuwa,Public,Moratuwa,BA in Sociology,3-year program with urban fieldwork and research methods.,"English,Sinhala,Tamil",TRUE,11838,Z-score,60,TRUE,G003
2997,Badulla,FALSE,FALSE,Biological Science,Business,166436,Colombo,TRUE,TRUE,P000,Sri Lanka Institute of Information Technology (SLIIT),Private,"Malabe, Colombo",BA in Economics,3-year program with econometrics and policy analysis.,"English,Sinhala,Tamil",TRUE,52028,A/L pass or O/L pass,50,FALSE,P000
2998,Kilinochchi,FALSE,FALSE,Technology,Business,242281,Mullaitivu,FALSE,FALSE,P001,NSBM Green University,Private,"Homagama, Colombo",Bachelor of Film,"Production program with cinematography, editing, and documentary filmmaking.","English,Sinhala,Tamil",FALSE,25419,A/L pass or O/L pass,45,TRUE,P001
2999,Moneragala,TRUE,TRUE,Arts,Medicine,67829,Kilinochchi,TRUE,FALSE,P000,Sri Lanka Institute of Information Technology (SLIIT),Private,"Malabe, Colombo",BA in Buddhist Art,3-year program covering temple mural restoration and sculpture.,"English,Sinhala,Tamil",TRUE,52028,A/L pass or O/L pass,50,FALSE,P000
3000,Mannar,FALSE,FALSE,Arts,Medicine,216031,Polonnaruwa,TRUE,FALSE,P000,Sri Lanka Institute of Information Technology (SLIIT),Private,"Malabe, Colombo",Bachelor of Accounting,"4-year degree with Big Four accounting firm internship pipeline. Includes Xero/Practical accounting software certs, case studies on CSE compliance, and ACCA accelerated pathway.","English,Sinhala,Tamil",TRUE,52028,A/L pass or O/L pass,50,FALSE,P000
3001,Jaffna,FALSE,FALSE,Physical Science,Agriculture,184713,Puttalam,FALSE,TRUE,P021,AIMS Institute,Private,Colombo,Bachelor of Pharmacy,"Herbal medicine program with standardization research, clinical pharmacy training, and drug development. Includes hospital rotations.","English,Sinhala,Tamil",FALSE,74011,A/L pass or O/L pass,30,TRUE,P021
3002,Kilinochchi,FALSE,FALSE,Arts,Agriculture,77809,Polonnaruwa,TRUE,FALSE,P000,Sri Lanka Institute of Information Technology (SLIIT),Private,"Malabe, Colombo",BSc (Hons) Psychology,3-year UK-validated degree with counseling focus.,"English,Sinhala,Tamil",TRUE,52028,A/L pass or O/L pass,50,FALSE,P000
3003,Mannar,FALSE,TRUE,Biological Science,Engineering,185934,Matara,TRUE,TRUE,P004,CINEC Campus,Private,"Malabe, Jaffna, Wattala",Bachelor of Agricultural Eng.,"Precision farming program with drone technology, irrigation systems, and agri-robotics. Includes smart farming certifications.","English,Sinhala,Tamil",TRUE,196801,A/L pass or O/L pass,35,TRUE,P004
3004,Kandy,TRUE,TRUE,Commerce,Arts,64978,Colombo,FALSE,TRUE,G015,University of the Visual and Performing Arts,Public,Colombo 7,Bachelor of Naturopathy,"Holistic health program with nutrition therapy, hydrotherapy, and lifestyle medicine.","English,Sinhala,Tamil",FALSE,12313,Z-score,30.71,FALSE,G015
3005,Jaffna,FALSE,FALSE,Arts,Law,283855,Mullaitivu,FALSE,FALSE,P022,Sei Campus,Private,Nugegoda,BA (Hons) in Business Management,3-year UK-linked degree with CIMA exemptions and corporate mentorship.,"English,Sinhala,Tamil",FALSE,217992,A/L pass or O/L pass,25,FALSE,P022
3006,Colombo,FALSE,FALSE,Commerce,IT,261671,Nuwara Eliya,FALSE,FALSE,P017,Chartered Accountants Institute (CA Sri Lanka),Private,Colombo,BA in Mass Communication,3-year journalism degree with media production training.,"English,Sinhala,Tamil",FALSE,196629,A/L pass or O/L pass,50,FALSE,P017
3007,Matale,TRUE,TRUE,Physical Science,IT,22194,Moneragala,FALSE,TRUE,P020,City School of Architecture (CSA),Private,Colombo,BSc (Hons) Computing,3-year UK-validated IT program with placement year.,"English,Sinhala,Tamil",FALSE,10916,A/L pass or O/L pass,45,TRUE,P020
3008,Polonnaruwa,FALSE,TRUE,Commerce,IT,86996,Kurunegala,TRUE,FALSE,G008,Sabaragamuwa University of Sri Lanka,Public,Belihuloya,Bachelor of Social Sciences,"Online program with development studies, fieldwork modules, and community research projects.","English,Sinhala,Tamil",TRUE,9839,Z-score,44.46,FALSE,G008
3009,Kilinochchi,FALSE,TRUE,Biological Science,Business,47687,Nuwara Eliya,FALSE,FALSE,P006,ICBT Campus,Private,"Colombo, Kandy, Kurunegala, Matara",BSc (Hons) in Software Engineering,3-year degree with full-stack development training and agile methodologies.,"English,Sinhala,Tamil",FALSE,180702,A/L pass or O/L pass,38,TRUE,P006
3010,Batticaloa,FALSE,TRUE,Physical Science,Medicine,86561,Matara,TRUE,FALSE,P003,Royal Institute of Colombo (RIC),Private,Colombo,Online BSc in Computer Science,3-year degree with coding specializations.,"English,Sinhala,Tamil",TRUE,192705,A/L pass or O/L pass,47.5,TRUE,P003
3011,Puttalam,FALSE,FALSE,Commerce,Medicine,285136,Mullaitivu,TRUE,TRUE,P000,Sri Lanka Institute of Information Technology (SLIIT),Private,"Malabe, Colombo",Diploma in Marine Engineering,2-year technical program with engine room simulations and onboard training.,"English,Sinhala,Tamil",TRUE,52028,A/L pass or O/L pass,50,FALSE,P000
3012,Anuradhapura,FALSE,FALSE,Arts,IT,18615,Polonnaruwa,TRUE,TRUE,P000,Sri Lanka Institute of Information Technology (SLIIT),Private,"Malabe, Colombo",Bachelor of Food Science,"HACCP-certified program with food innovation lab, product development, and quality control training. Includes industry placements.","English,Sinhala,Tamil",TRUE,52028,A/L pass or O/L pass,50,FALSE,P000
3013,Nuwara Eliya,TRUE,TRUE,Arts,Medicine,118459,Puttalam,TRUE,FALSE,P000,Sri Lanka Institute of Information Technology (SLIIT),Private,"Malabe, Colombo",Postgraduate Diploma in Management,1-year intensive business program with corporate projects.,"English,Sinhala,Tamil",TRUE,52028,A/L pass or O/L pass,50,FALSE,P000
3014,Kurunegala,TRUE,TRUE,Commerce,Arts,244295,Kegalle,FALSE,FALSE,P020,City School of Architecture (CSA),Private,Colombo,Bachelor of Molecular Biology,"Cutting-edge program with CRISPR gene editing labs, biotech startup incubator, and research collaborations with MAS Holdings. Includes training in DNA sequencing, microscopy, and bioinformatics tools with publication opportunities.","English,Sinhala,Tamil",FALSE,10916,A/L pass or O/L pass,45,TRUE,P020
3015,Ratnapura,FALSE,FALSE,Arts,Law,186568,Mannar,TRUE,TRUE,P000,Sri Lanka Institute of Information Technology (SLIIT),Private,"Malabe, Colombo",Online BBA,Fully online US-accredited business degree with micro-credentials.,"English,Sinhala,Tamil",TRUE,52028,A/L pass or O/L pass,50,FALSE,P000
3016,Gampaha,FALSE,FALSE,Biological Science,Design,262568,Ampara,FALSE,TRUE,P011,American College of Higher Education (ACHE),Private,Negombo,BSc in Banking & Insurance,3-year financial services degree with risk management.,"English,Sinhala,Tamil",FALSE,168800,A/L pass or O/L pass,32,TRUE,P011
3017,Matale,TRUE,TRUE,Physical Science,IT,153658,Badulla,FALSE,TRUE,P015,Lyceum Campus,Private,"Colombo, Wattala",Higher Diploma in Business,2-year management fundamentals program.,"English,Sinhala,Tamil",FALSE,180180,A/L pass or O/L pass,33,TRUE,P015
3018,Polonnaruwa,FALSE,FALSE,Physical Science,Law,177818,Ratnapura,FALSE,TRUE,P010,Sri Lanka International Buddhist Academy (SIBA),Private,"Pallekele, Kandy",BSc (Hons) in Artificial Intelligence,3-year AI/ML focused program with NVIDIA GPU labs and natural language processing projects. Features Kaggle competitions.,"English,Sinhala,Tamil",FALSE,201901,A/L pass or O/L pass,25,TRUE,P010
3019,Kegalle,FALSE,TRUE,Biological Science,Medicine,171232,Matale,FALSE,FALSE,P006,ICBT Campus,Private,"Colombo, Kandy, Kurunegala, Matara",Bachelor of Environmental Sci.,"Sustainability program with online labs, GIS training, and environmental policy studies.","English,Sinhala,Tamil",FALSE,180702,A/L pass or O/L pass,38,TRUE,P006
3020,Anuradhapura,FALSE,FALSE,Technology,Engineering,161482,Anuradhapura,TRUE,FALSE,P019,Management & Science University (MSU) Sri Lanka,Private,Colombo,Bachelor of Aquaculture,"Shrimp/prawn breeding program with hatchery technologies, water quality management, and export standards.","English,Sinhala,Tamil",TRUE,178009,A/L pass or O/L pass,40,TRUE,P019
3021,Polonnaruwa,FALSE,FALSE,Technology,Engineering,234429,Ratnapura,TRUE,FALSE,P000,Sri Lanka Institute of Information Technology (SLIIT),Private,"Malabe, Colombo",BA (Hons) Events Management,3-year program with CHA internships.,"English,Sinhala,Tamil",TRUE,52028,A/L pass or O/L pass,50,FALSE,P000
3022,Nuwara Eliya,FALSE,FALSE,Biological Science,Law,147517,Matara,FALSE,FALSE,P001,NSBM Green University,Private,"Homagama, Colombo",BSc (Hons) Cyber Security,3-year UK-validated program with ethical hacking labs and CISSP preparation. Includes Dialog Axiata bootcamps.,"English,Sinhala,Tamil",FALSE,25419,A/L pass or O/L pass,45,TRUE,P001
3023,Mullaitivu,FALSE,TRUE,Technology,Medicine,259539,Kurunegala,FALSE,TRUE,P010,Sri Lanka International Buddhist Academy (SIBA),Private,"Pallekele, Kandy",Diploma in Data Science,1-year AI/ML foundations course.,"English,Sinhala,Tamil",FALSE,201901,A/L pass or O/L pass,25,TRUE,P010
3024,Colombo,FALSE,FALSE,Biological Science,Design,260349,Matale,FALSE,FALSE,P024,Imperial College of Business Studies,Private,Colombo,Bachelor of Food Science,"Innovation program with HACCP labs, sensory evaluation, and functional food development. Includes industry projects.","English,Sinhala,Tamil",FALSE,165146,A/L pass or O/L pass,30,TRUE,P024
3025,Kurunegala,FALSE,TRUE,Biological Science,Law,33115,Kandy,FALSE,TRUE,P015,Lyceum Campus,Private,"Colombo, Wattala",BSc in Nursing,4-year degree with hospital rotations and BLS/ACLS certification.,"English,Sinhala,Tamil",FALSE,180180,A/L pass or O/L pass,33,TRUE,P015
3026,Polonnaruwa,FALSE,TRUE,Commerce,Agriculture,150661,Gampaha,TRUE,FALSE,P002,Informatics Institute of Technology (IIT),Private,Colombo,BSc (Hons) in Psychology,3-year degree with cognitive neuroscience labs and clinical placements at National Hospital.,"English,Sinhala,Tamil",TRUE,68711,A/L pass or O/L pass,48,TRUE,P002
3027,Mannar,FALSE,FALSE,Arts,Arts,139880,Jaffna,TRUE,TRUE,P027,University of Central Lancashire (UCLan) Sri Lanka,Private,Colombo,Bachelor of Public Administration,"Governance degree with parliamentary internships, policy analysis training (UNDP frameworks), and local governance fieldwork. Includes public sector management courses.","English,Sinhala,Tamil",TRUE,41811,A/L pass or O/L pass,60,FALSE,P027
